ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,event_score,event_score_lower,event_score_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-11,556.6466266248037,158.99760064629834,476.2451781390359,556.6466266248037,556.6466266248037,-234.34556950570467,-234.34556950570467,-234.34556950570467,0.0,0.0,0.0,27.586698,27.586698,27.586698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-11.26654419496701,-11.26654419496701,-11.26654419496701,2.9681096505961495,2.9681096505961495,2.9681096505961495,-33.43550755662475,-33.43550755662475,-33.43550755662475,-42.36130620705145,-42.36130620705145,-42.36130620705145,-180.7177191036862,-180.7177191036862,-180.7177191036862,0.0,0.0,0.0,322.301057119099
2021-01-12,556.7799442872841,105.98637681641448,422.0402919468828,556.7799442872841,556.7799442872841,-294.34067643773955,-294.34067643773955,-294.34067643773955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.031354,20.031354,20.031354,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-16.215484729937977,-16.215484729937977,-16.215484729937977,-10.19205684189569,-10.19205684189569,-10.19205684189569,-17.66893759910388,-17.66893759910388,-17.66893759910388,-95.24816108169134,-95.24816108169134,-95.24816108169134,-182.87703062611033,-182.87703062611033,-182.87703062611033,0.0,0.0,0.0,262.4392678495446
2021-01-13,556.9132619497645,98.15354806286017,420.35005826865677,556.9132619497645,556.9132619497645,-302.1872068568235,-302.1872068568235,-302.1872068568235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8428416,17.8428416,17.8428416,-8.38584428893841,-8.38584428893841,-8.38584428893841,-6.332534771646583,-6.332534771646583,-6.332534771646583,0.6180799197940352,0.6180799197940352,0.6180799197940352,-16.407612002502205,-16.407612002502205,-16.407612002502205,-110.56806372231924,-110.56806372231924,-110.56806372231924,-185.28660836285766,-185.28660836285766,-185.28660836285766,0.0,0.0,0.0,254.72605509294107
2021-01-14,557.0465796122448,133.2004736267528,452.4120737061095,557.0465796122448,557.0465796122448,-265.29544343365916,-265.29544343365916,-265.29544343365916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.260775,23.260775,23.260775,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-4.648725618698199,-4.648725618698199,-4.648725618698199,-7.215352516213013,-7.215352516213013,-7.215352516213013,-12.308303813546779,-12.308303813546779,-12.308303813546779,-72.64221339899667,-72.64221339899667,-72.64221339899667,-188.0045044159643,-188.0045044159643,-188.0045044159643,0.0,0.0,0.0,291.7511361785857
2021-01-15,557.1798972747252,143.22417757701461,453.45048312874445,557.1798972747252,557.1798972747252,-260.4859910989597,-260.4859910989597,-260.4859910989597,25.751249,25.751249,25.751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-14.2046560411384,-14.2046560411384,-14.2046560411384,2.8114410018760085,2.8114410018760085,2.8114410018760085,-34.381501754076,-34.381501754076,-34.381501754076,-55.20975884658461,-55.20975884658461,-55.20975884658461,-191.0715762112367,-191.0715762112367,-191.0715762112367,0.0,0.0,0.0,296.69390617576556
2021-01-16,557.3132149372057,287.7033978904856,604.5935225470358,557.3132149372057,557.3132149372057,-114.53878893533665,-114.53878893533665,-114.53878893533665,0.0,0.0,0.0,0.0,0.0,0.0,46.071011,46.071011,46.071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-7.059019245601194,-7.059019245601194,-7.059019245601194,-8.155364408533858,-8.155364408533858,-8.155364408533858,-36.58882154812893,-36.58882154812893,-36.58882154812893,87.02938896637802,87.02938896637802,87.02938896637802,-194.5091586561135,-194.5091586561135,-194.5091586561135,0.0,0.0,0.0,442.774426001869
2021-01-17,557.446532599686,526.629984521808,844.451463385842,557.446532599686,557.446532599686,132.44342682988295,132.44342682988295,132.44342682988295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.924025,74.924025,74.924025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,41.76070670171145,41.76070670171145,41.76070670171145,0.7747485685141762,0.7747485685141762,0.7747485685141762,-25.552222577864317,-25.552222577864317,-25.552222577864317,289.00011429192375,289.00011429192375,289.00011429192375,-198.31739416375225,-198.31739416375225,-198.31739416375225,0.0,0.0,0.0,689.8899594295689
2021-01-18,557.5798502621665,160.6961800585077,468.1057266715037,557.5798502621665,557.5798502621665,-248.84949878875625,-248.84949878875625,-248.84949878875625,0.0,0.0,0.0,27.586698,27.586698,27.586698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-4.01392201450741,-4.01392201450741,-4.01392201450741,2.9681096505961495,2.9681096505961495,2.9681096505961495,-26.18288537616515,-26.18288537616515,-26.18288537616515,-42.36130620665854,-42.36130620665854,-42.36130620665854,-202.47427056759028,-202.47427056759028,-202.47427056759028,0.0,0.0,0.0,308.7303514734102
2021-01-19,557.7131679246468,66.7438788901251,392.949422963802,557.7131679246468,557.7131679246468,-317.6396272039231,-317.6396272039231,-317.6396272039231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.031354,20.031354,20.031354,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-15.456070706858897,-15.456070706858897,-15.456070706858897,-5.648666029011603,-5.648666029011603,-5.648666029011603,-21.452914388908887,-21.452914388908887,-21.452914388908887,-95.24816108218891,-95.24816108218891,-95.24816108218891,-206.93539541487525,-206.93539541487525,-206.93539541487525,0.0,0.0,0.0,240.07354072072366
2021-01-20,557.8464855871271,76.47098288747489,393.27098001381444,557.8464855871271,557.8464855871271,-319.561128298083,-319.561128298083,-319.561128298083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8428416,17.8428416,17.8428416,-8.38584428893841,-8.38584428893841,-8.38584428893841,2.6414484430244296,2.6414484430244296,2.6414484430244296,2.6547723531558676,2.6547723531558676,2.6547723531558676,-9.470321221193027,-9.470321221193027,-9.470321221193027,-110.56806372163494,-110.56806372163494,-110.56806372163494,-211.63451301947256,-211.63451301947256,-211.63451301947256,0.0,0.0,0.0,238.28535728904404
