ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holiday_score,holiday_score_lower,holiday_score_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,552.5456,439.40168482893574,767.421321405329,552.5456,552.5456,52.74560268289518,52.74560268289518,52.74560268289518,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.81093769407556,220.81093769407556,220.81093769407556,232.4576419614446,232.4576419614446,232.4576419614446,3.5703168124663263,3.5703168124663263,3.5703168124663263,-41.60201907983537,-41.60201907983537,-41.60201907983537,-47.96192757699157,-47.96192757699157,-47.96192757699157,-120.10340743418881,-120.10340743418881,-120.10340743418881,0.0,0.0,0.0,605.2912026828952
2021-01-02,552.7375401616955,352.5498754100971,658.9348482071075,552.7375401616955,552.7375401616955,-45.59111606816212,-45.59111606816212,-45.59111606816212,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.505686083895534,-6.505686083895534,-6.505686083895534,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.1934057300879832,3.1934057300879832,3.1934057300879832,-40.24946983858765,-40.24946983858765,-40.24946983858765,86.41878343532699,86.41878343532699,86.41878343532699,-125.50421341959357,-125.50421341959357,-125.50421341959357,0.0,0.0,0.0,507.14642409353337
2021-01-03,552.9294803233909,550.3329289633328,877.9650828952384,552.9294803233909,552.9294803233909,175.94613080206014,175.94613080206014,175.94613080206014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.842552491348727,25.842552491348727,25.842552491348727,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.3818612712771543,3.3818612712771543,3.3818612712771543,-35.853684804532556,-35.853684804532556,-35.853684804532556,280.7655670528794,280.7655670528794,280.7655670528794,-130.66198874216803,-130.66198874216803,-130.66198874216803,0.0,0.0,0.0,728.875611125451
2021-01-04,553.1214204850863,190.005953895783,521.8836470878847,553.1214204850863,553.1214204850863,-201.0567163729342,-201.0567163729342,-201.0567163729342,0.0,0.0,0.0,26.792393999999998,26.792393999999998,26.792393999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.37297119833934,-20.37297119833934,-20.37297119833934,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.3818612712771543,3.3818612712771543,3.3818612712771543,-35.51554749422062,-35.51554749422062,-35.51554749422062,-45.10864461320413,-45.10864461320413,-45.10864461320413,-135.57510056139068,-135.57510056139068,-135.57510056139068,0.0,0.0,0.0,352.0647041121521
2021-01-05,553.3133606467818,129.32831134162683,461.83153663405716,553.3133606467818,553.3133606467818,-260.3990597210766,-260.3990597210766,-260.3990597210766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025838,20.025838,20.025838,0.0,0.0,0.0,-27.666120049840448,-27.666120049840448,-27.666120049840448,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.1934057300879832,3.1934057300879832,3.1934057300879832,-35.853684804532556,-35.853684804532556,-35.853684804532556,-92.47458527756112,-92.47458527756112,-92.47458527756112,-140.258354393675,-140.258354393675,-140.258354393675,0.0,0.0,0.0,292.9143009257052
2021-01-06,553.5053008084772,108.66844330543216,418.6282609103849,553.5053008084772,553.5053008084772,-285.7352560697474,-285.7352560697474,-285.7352560697474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3020766,17.3020766,17.3020766,-29.45301706303748,-29.45301706303748,-29.45301706303748,-15.031678975395874,-15.031678975395874,-15.031678975395874,2.4395835653312967,2.4395835653312967,2.4395835653312967,-34.162998252972905,-34.162998252972905,-34.162998252972905,-111.5413922225968,-111.5413922225968,-111.5413922225968,-144.7408467841131,-144.7408467841131,-144.7408467841131,0.0,0.0,0.0,267.7700447387298
2021-01-07,553.6972409701727,134.36958031676886,459.1145789288899,553.6972409701727,553.6972409701727,-246.3023002007014,-246.3023002007014,-246.3023002007014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222557,23.222557,23.222557,0.0,0.0,0.0,0.0,0.0,0.0,-27.141139079412373,-27.141139079412373,-27.141139079412373,-15.031678975395874,-15.031678975395874,-15.031678975395874,1.8742169417637822,1.8742169417637822,1.8742169417637822,-37.206234045780285,-37.206234045780285,-37.206234045780285,-70.09780079985134,-70.09780079985134,-70.09780079985134,-149.06336032143764,-149.06336032143764,-149.06336032143764,0.0,0.0,0.0,307.3949407694713
2021-01-08,553.8891811318682,176.2532387684162,491.44591005898457,553.8891811318682,553.8891811318682,-226.56315735893915,-226.56315735893915,-226.56315735893915,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.325834001517194,-25.325834001517194,-25.325834001517194,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,-40.24946983858765,-40.24946983858765,-40.24946983858765,-47.96192757653121,-47.96192757653121,-47.96192757653121,-153.2753957808908,-153.2753957808908,-153.2753957808908,0.0,0.0,0.0,327.32602377292903
2021-01-09,554.0811212935636,326.6476349156926,632.5904969106053,554.0811212935636,554.0811212935636,-77.48007440692362,-77.48007440692362,-77.48007440692362,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.466912311829128,-6.466912311829128,-6.466912311829128,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,-40.587607148899586,-40.587607148899586,-40.587607148899586,86.41878343516778,86.41878343516778,86.41878343516778,-157.43194553026225,-157.43194553026225,-157.43194553026225,0.0,0.0,0.0,476.60104688663995
2021-01-10,554.273061455259,528.7634680451872,847.340965405416,554.273061455259,554.273061455259,138.10557307569292,138.10557307569292,138.10557307569292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.930124515987366,18.930124515987366,18.930124515987366,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,-42.954568321083094,-42.954568321083094,-42.954568321083094,280.7655670527616,280.7655670527616,280.7655670527616,-161.59011849305605,-161.59011849305605,-161.59011849305605,0.0,0.0,0.0,692.378634530952
