ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-11,558.2899962951334,158.83688736680554,508.1586508321529,558.2899962951334,558.2899962951334,-222.30277454198665,-222.30277454198665,-222.30277454198665,0.0,0.0,0.0,23.164836,23.164836,23.164836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.555438842486973,-10.555438842486973,-10.555438842486973,2.769290491786588,2.769290491786588,2.769290491786588,-36.489565334273564,-36.489565334273564,-36.489565334273564,-37.377541616222054,-37.377541616222054,-37.377541616222054,-174.3697940832776,-174.3697940832776,-174.3697940832776,0.0,0.0,0.0,335.98722175314674
2021-01-12,558.4404919246468,109.69633664885812,436.8204073611903,558.4404919246468,558.4404919246468,-289.05026291321633,-289.05026291321633,-289.05026291321633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952192199999999,8.952192199999999,8.952192199999999,0.0,0.0,0.0,-19.839997850741106,-19.839997850741106,-19.839997850741106,-9.509340767899591,-9.509340767899591,-9.509340767899591,-19.282849282841514,-19.282849282841514,-19.282849282841514,-87.12225560302541,-87.12225560302541,-87.12225560302541,-182.08800945944978,-182.08800945944978,-182.08800945944978,0.0,0.0,0.0,269.3902290114305
2021-01-13,558.59098755416,89.59616652096516,433.0492663950381,558.59098755416,558.59098755416,-299.97731042672734,-299.97731042672734,-299.97731042672734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6495266,5.6495266,5.6495266,-11.680107631884322,-11.680107631884322,-11.680107631884322,0.5766777668426274,0.5766777668426274,0.5766777668426274,-17.906311998726952,-17.906311998726952,-17.906311998726952,-98.68128007795343,-98.68128007795343,-98.68128007795343,-189.6159227168896,-189.6159227168896,-189.6159227168896,0.0,0.0,0.0,258.6136771274327
2021-01-14,558.7414831836735,141.58405733990648,461.6963339029574,558.7414831836735,558.7414831836735,-269.15733573340503,-269.15733573340503,-269.15733573340503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7538028,14.7538028,14.7538028,0.0,0.0,0.0,0.0,0.0,0.0,-5.410794341658524,-5.410794341658524,-5.410794341658524,-6.732031316303908,-6.732031316303908,-6.732031316303908,-13.432565825354617,-13.432565825354617,-13.432565825354617,-66.81635210036875,-66.81635210036875,-66.81635210036875,-196.9301892913778,-196.9301892913778,-196.9301892913778,0.0,0.0,0.0,289.58414745026846
2021-01-15,558.8919788131867,133.286897463088,470.20114619045967,558.8919788131867,558.8919788131867,-263.124255531125,-263.124255531125,-263.124255531125,20.940312,20.940312,20.940312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.958539987235826,-13.958539987235826,-13.958539987235826,2.623116310123657,2.623116310123657,2.623116310123657,-37.52196829735948,-37.52196829735948,-37.52196829735948,-45.16359760482662,-45.16359760482662,-45.16359760482662,-204.0021179390626,-204.0021179390626,-204.0021179390626,0.0,0.0,0.0,295.7677232820617
2021-01-16,559.0424744427002,275.3014855942924,588.0315272856242,559.0424744427002,559.0424744427002,-123.20445434635997,-123.20445434635997,-123.20445434635997,0.0,0.0,0.0,0.0,0.0,0.0,56.352638,56.352638,56.352638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.812653049158534,8.812653049158534,8.812653049158534,-7.609076406281491,-7.609076406281491,-7.609076406281491,-39.93090854455997,-39.93090854455997,-39.93090854455997,78.77953079944511,78.77953079944511,78.77953079944511,-210.79663819496363,-210.79663819496363,-210.79663819496363,0.0,0.0,0.0,435.8380200963402
2021-01-17,559.1929700722135,505.4014914282888,845.6780911891823,559.1929700722135,559.1929700722135,119.04261361797651,119.04261361797651,119.04261361797651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.096095,107.096095,107.096095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93273963994803,79.93273963994803,79.93273963994803,0.7228519485055581,0.7228519485055581,0.7228519485055581,-27.88620730855754,-27.88620730855754,-27.88620730855754,256.38149620377214,256.38149620377214,256.38149620377214,-217.27162222574364,-217.27162222574364,-217.27162222574364,0.0,0.0,0.0,678.23558369019
2021-01-18,559.3434657017268,140.96747092565383,465.2191286029838,559.3434657017268,559.3434657017268,-263.3954823541322,-263.3954823541322,-263.3954823541322,0.0,0.0,0.0,23.164836,23.164836,23.164836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6403494588282315,-2.6403494588282315,-2.6403494588282315,2.769290491786588,2.769290491786588,2.769290491786588,-28.57447595061482,-28.57447595061482,-28.57447595061482,-37.37754161644855,-37.37754161644855,-37.37754161644855,-223.37759127885545,-223.37759127885545,-223.37759127885545,0.0,0.0,0.0,295.94798334759463
2021-01-19,559.4939613312401,42.97973446165546,384.88440988923463,559.4939613312401,559.4939613312401,-335.9106372607491,-335.9106372607491,-335.9106372607491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952192199999999,8.952192199999999,8.952192199999999,0.0,0.0,0.0,-19.73055843485981,-19.73055843485981,-19.73055843485981,-5.2702894996746,-5.2702894996746,-5.2702894996746,-23.412461135185207,-23.412461135185207,-23.412461135185207,-87.12225560308694,-87.12225560308694,-87.12225560308694,-229.0578232228024,-229.0578232228024,-229.0578232228024,0.0,0.0,0.0,223.58332407049102
2021-01-20,559.6444569607536,58.61998082602511,392.591804994019,559.6444569607536,559.6444569607536,-335.1390319173587,-335.1390319173587,-335.1390319173587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6495266,5.6495266,5.6495266,-2.208888207636127,-2.208888207636127,-2.208888207636127,2.4769421284607267,2.4769421284607267,2.4769421284607267,-10.335356936096852,-10.335356936096852,-10.335356936096852,-98.68128007783035,-98.68128007783035,-98.68128007783035,-234.2488636318922,-234.2488636318922,-234.2488636318922,0.0,0.0,0.0,224.5054250433949
2021-01-21,559.7949525902668,83.13090162036423,412.63665979246764,559.7949525902668,559.7949525902668,-317.87519000209977,-317.87519000209977,-317.87519000209977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7538028,14.7538028,14.7538028,0.0,0.0,0.0,0.0,0.0,0.0,-12.17740896441071,-12.17740896441071,-12.17740896441071,-14.186914581113374,-14.186914581113374,-14.186914581113374,-12.744297183297336,-12.744297183297336,-12.744297183297336,-66.81635210011159,-66.81635210011159,-66.81635210011159,-238.88142893757754,-238.88142893757754,-238.88142893757754,0.0,0.0,0.0,241.91976258816703
2021-01-22,559.9454482197802,99.95938908840917,437.17372381362844,559.9454482197802,559.9454482197802,-295.65990621435117,-295.65990621435117,-295.65990621435117,20.940312,20.940312,20.940312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.61463183608769,-7.61463183608769,-7.61463183608769,-3.0776767747306404,-3.0776767747306404,-3.0776767747306404,-25.47726706135705,-25.47726706135705,-25.47726706135705,-45.163597605071,-45.163597605071,-45.163597605071,-242.88167677319254,-242.88167677319254,-242.88167677319254,0.0,0.0,0.0,264.2855420054291
